predicted_label,positive,neutral,negative,conflict,none
0,0.9582842,0.0096064145,0.008303045,0.015172466,0.008634023
4,0.00070300256,0.0008880326,0.0010717158,0.00069975184,0.9966373
0,0.95954734,0.009542608,0.0068464763,0.013164911,0.0108986655
4,0.0011673208,0.0008619128,0.00085085107,0.0006132879,0.9965066
4,0.0009821898,0.0005977044,0.001435408,0.0006489904,0.9963355
4,0.013240724,0.010970373,0.13208115,0.016977761,0.82673
0,0.8907197,0.022795567,0.03473581,0.047831524,0.003917332
4,0.0006329066,0.00053789443,0.000799789,0.00048996304,0.9975392
4,0.00057982263,0.0005623211,0.0007239058,0.0004964038,0.9976377
4,0.0007318455,0.00046525052,0.0006509563,0.00047928773,0.9976724
4,0.001089906,0.0010936052,0.0007259968,0.0007393474,0.9963512
4,0.0005850918,0.0006272972,0.0005918131,0.00048388712,0.99771184
4,0.00074929785,0.00046996164,0.00055223866,0.00042526182,0.9978032
4,0.0005956973,0.0005845023,0.00060107606,0.00044240162,0.9977762
4,0.004023652,0.0012379898,0.0037588705,0.0015625648,0.9894168
4,0.0011930307,0.000730631,0.00060029584,0.00055279915,0.99692345
4,0.00090569985,0.0005220437,0.0005433557,0.0004724861,0.99755645
4,0.0007489046,0.00055106706,0.00057023263,0.00047658893,0.9976533
4,0.002001786,0.00084782735,0.0006975194,0.0005740729,0.9958786
4,0.0046181157,0.0014136002,0.0010611111,0.0009615021,0.9919459
0,0.9319623,0.011376718,0.009734781,0.017068699,0.029857527
4,0.0018832426,0.0007563913,0.0006135096,0.0005925295,0.99615455
4,0.00082780723,0.000511507,0.0005262294,0.00040140716,0.9977329
0,0.93328154,0.014026444,0.018782152,0.025939096,0.007970772
4,0.0025836765,0.0019231921,0.005920477,0.001924449,0.9876481
4,0.0007390415,0.00049480476,0.0005218426,0.00041431416,0.99783
4,0.022297624,0.00634441,0.038282223,0.009272054,0.92380387
2,0.0546067,0.0413408,0.7348004,0.08574995,0.0835022
4,0.00088258774,0.0004476268,0.0005353785,0.00041019137,0.9977243
4,0.0009380016,0.0004978975,0.0010090187,0.0005359645,0.99701893
0,0.8764931,0.031553037,0.03240406,0.054202326,0.00534742
0,0.9297314,0.010485819,0.008835242,0.012858781,0.03808877
4,0.0008487638,0.00073561,0.0010472466,0.00050229474,0.99686587
4,0.0013968275,0.00050331274,0.000547082,0.00046172302,0.99709123
4,0.0012400063,0.00046317955,0.0008692011,0.00054594106,0.99688154
4,0.0011062805,0.0008893971,0.001790421,0.0006894044,0.99552435
4,0.0007460528,0.0005269069,0.000549269,0.00046975777,0.99770814
4,0.0005928777,0.0005087214,0.0007491768,0.000504504,0.9976449
4,0.0014211359,0.00057088037,0.00058734935,0.000493554,0.9969273
4,0.0008032938,0.00060151966,0.001465093,0.00059511786,0.99653506
4,0.001094893,0.0007606742,0.0023752297,0.0008349847,0.9949341
4,0.0005703093,0.0004564526,0.00081411796,0.00049834803,0.997661
4,0.0006102657,0.00066082313,0.00068841357,0.00048756908,0.99755305
0,0.94028336,0.011080818,0.013988439,0.016226325,0.018421074
4,0.0013929517,0.0005018397,0.0006195734,0.00050198246,0.99698377
4,0.0012282514,0.0004570165,0.00057113223,0.0004245503,0.997319
4,0.0007903834,0.0006207637,0.0005797477,0.0005159103,0.99749315
4,0.00080879574,0.000454695,0.0006829312,0.00042581398,0.9976277
4,0.0014031768,0.0007150828,0.00085052534,0.0006105219,0.9964206
4,0.0006883355,0.00051297154,0.0005944916,0.00046446364,0.99774
2,0.03592446,0.086897515,0.6493928,0.21503659,0.012748863
0,0.95579636,0.011140176,0.006743913,0.013812474,0.012507011
4,0.000547582,0.0006326278,0.0008475626,0.00055951567,0.9974127
4,0.00062250544,0.00045296375,0.0007362122,0.0004345007,0.99775374
4,0.0021123623,0.0007697289,0.0007591063,0.00058021396,0.99577844
4,0.0008873765,0.0006137218,0.0005249142,0.00046165945,0.99751264
4,0.00082811876,0.00048234346,0.0005093765,0.00042042907,0.99775994
4,0.00071925117,0.0004380961,0.00053863856,0.00039466852,0.99790937
4,0.00059626455,0.00049918616,0.000836535,0.00049362885,0.9975744
4,0.0024092037,0.00089576474,0.00064415607,0.00067905826,0.9953716
2,0.058100525,0.042870432,0.7770075,0.09991407,0.022107372
4,0.0005199832,0.00051755446,0.0007016874,0.00045868312,0.9978023
4,0.00082254264,0.00046997642,0.0005531147,0.0004396537,0.99771476
4,0.00059317774,0.0005493971,0.0007312919,0.00052027206,0.9976058
4,0.0006289103,0.0006160351,0.0009881572,0.00057659624,0.9971902
4,0.0006757648,0.0005453556,0.0005673536,0.00046169752,0.9977499
4,0.0005161086,0.0004870611,0.00069749384,0.0004506764,0.9978484
4,0.0015181662,0.0004867539,0.00076744886,0.0005488378,0.9966787
4,0.00050841604,0.000523221,0.0006520243,0.00044404506,0.99787223
4,0.0006245299,0.00052725273,0.00071312964,0.00050514267,0.9976301
4,0.0017695526,0.0006892387,0.0018690369,0.0007960914,0.9948762
4,0.00062815263,0.0004916936,0.0005808645,0.00044010507,0.9978594
4,0.0009029681,0.00063514715,0.0007339339,0.0006314904,0.9970964
0,0.9570613,0.010230501,0.008520203,0.016194893,0.007993074
4,0.04050748,0.009970318,0.0027534496,0.0043124976,0.9424561
4,0.000581989,0.0004883383,0.0007324599,0.00044755507,0.99774945
4,0.0005800134,0.00048779816,0.0007026614,0.00045282036,0.9977767
4,0.0005450749,0.0005127172,0.0008288559,0.0005053337,0.9976081
0,0.9612624,0.010326942,0.007341744,0.016692054,0.0043766596
2,0.031387616,0.06484496,0.64643604,0.11004868,0.1472827
4,0.0017335524,0.00065027224,0.0009920177,0.0006755541,0.9959485
4,0.00073686545,0.00054598117,0.0005541686,0.0004722474,0.997691
4,0.0010829957,0.00043481722,0.00061890995,0.00043157727,0.9974317
4,0.0012663591,0.0006219568,0.00057544594,0.000466499,0.9970699
4,0.0010479315,0.00065038505,0.0005850982,0.00051981903,0.9971968
4,0.0011926667,0.0007347158,0.0006509386,0.0005298856,0.99689156
4,0.00089799374,0.00061325985,0.0005737677,0.00048446734,0.9974303
4,0.0009312304,0.00043470834,0.0006111991,0.00042462072,0.99759823
