predicted_label,positive,neutral,negative,conflict,none
4,0.0009062645,9.696731e-05,0.00030770956,9.965953e-05,0.9985896
4,0.0007951774,0.00025725766,0.00034877835,0.00013308223,0.9984657
0,0.9963897,0.00065915607,0.00026326947,0.0011288727,0.0015588742
0,0.99615026,0.00061842875,0.0002727625,0.0013228864,0.0016358204
0,0.99469167,0.00058703095,0.00037830515,0.0009587611,0.003384342
4,0.00049932,0.00010259837,0.00031126046,9.283967e-05,0.9989939
0,0.9948762,0.0017326773,0.0004360179,0.0018975604,0.0010577198
4,0.00094000227,0.00017295858,0.00027927957,0.00012029227,0.9984877
4,0.00071270886,0.00014072125,0.0003094588,9.711372e-05,0.99873996
4,0.0005683265,0.00011910237,0.0003743873,9.91584e-05,0.99883914
4,0.0006746814,9.810192e-05,0.00030371043,0.00010306084,0.99882054
4,0.0008455645,0.0002777372,0.00039231934,0.00016448452,0.9983201
0,0.99593896,0.0007671551,0.00025145797,0.0010917983,0.0019506268
0,0.9957803,0.0006940732,0.00029870545,0.0019748572,0.0012521667
0,0.9960296,0.00074177125,0.00038610812,0.0019143812,0.0009282706
4,0.000377699,0.00010704997,0.0004005936,8.2439634e-05,0.999032
0,0.8251499,0.0456551,0.05719461,0.069404766,0.0025956891
4,0.0004962535,0.00017249752,0.0003643168,9.27886e-05,0.99887437
4,0.0012260139,0.00028667,0.0007226132,0.00018460328,0.99758005
4,0.00041323213,0.00011583597,0.00050243945,9.3424e-05,0.9988753
4,0.0003407992,0.00012936148,0.00062921474,0.000108539636,0.998792
4,0.0016868161,0.0048413295,0.022010885,0.0010469366,0.9704138
4,0.00054109306,0.00033829917,0.0015996466,0.00015766751,0.9973632
4,0.00036138928,0.00016616838,0.000751612,0.00011921861,0.99860144
2,0.0012436722,0.0031673908,0.9838891,0.0071882433,0.0045113782
2,0.003747183,0.0024004027,0.76006985,0.0075597707,0.22622292
4,0.0008803407,0.0007547427,0.0028463488,0.0005062218,0.9950124
2,0.0012990538,0.0032141039,0.97609615,0.008489928,0.010900936
2,0.0016913723,0.0038621419,0.90962136,0.012633331,0.072191685
2,0.00088032434,0.0024865963,0.98332256,0.010456813,0.0028537607
4,0.00030724358,0.0001102979,0.00062763406,0.00012311063,0.99883145
4,0.0006341077,0.00073857646,0.0010368275,0.00032730156,0.99726343
4,0.00039092088,0.00016121803,0.00043803695,0.0001249062,0.99888486
3,0.4311105,0.039298333,0.013007219,0.514077,0.0025069045
4,0.00035686608,0.00011651268,0.000729541,0.000121778394,0.9986752
4,0.00032413471,0.00012942712,0.0007012552,0.00011806454,0.9987272
2,0.0012564017,0.008615335,0.97528094,0.009403533,0.005443577
4,0.0004517319,0.00028477484,0.0014050736,0.00016136434,0.99769706
4,0.000390687,0.00021361791,0.0011122294,0.00016625668,0.99811727
4,0.0012544346,0.00063992786,0.0071419594,0.00040701107,0.9905568
4,0.0005053489,0.0001072745,0.0003260725,9.69835e-05,0.99896437
0,0.99248385,0.0036278039,0.0005759812,0.0021783675,0.0011341706
4,0.0007481161,0.00017186877,0.00027874927,0.00011026467,0.99869096
4,0.000590637,0.0001329153,0.000303045,0.000100927035,0.9988724
4,0.0005090235,0.000115876304,0.00038052228,0.00010048582,0.9988944
2,0.0051699164,0.010677928,0.9489116,0.0279624,0.0072783194
4,0.00068175764,0.00092424254,0.0012394972,0.00022653793,0.99692774
0,0.82244086,0.07057161,0.006416839,0.09318813,0.00738253
4,0.0005610513,0.00014120643,0.00047996378,0.000116751944,0.9987009
0,0.8722723,0.012008133,0.007090554,0.10755509,0.0010738572
4,0.0005608807,0.00010229061,0.00031037148,9.4159965e-05,0.9989325
0,0.99556863,0.0010370056,0.00053536554,0.0012032331,0.0016555914
4,0.0010026264,0.00017893488,0.00026192016,0.00011223545,0.9984443
4,0.00139593,0.00017813023,0.00035176033,0.00013536747,0.99793893
4,0.00052592944,0.00010747623,0.0003946399,9.789444e-05,0.9988739
4,0.0003746114,0.00012444226,0.0003676933,8.927154e-05,0.9990439
4,0.00095150725,0.004601259,0.0016346204,0.00041514117,0.99239725
1,0.06307802,0.91076803,0.002464165,0.015358995,0.008330603
