predicted_label,no,yes
1,0.0006236954,0.9993763
0,0.9997554,0.00024441225
0,0.99990946,9.080094e-05
1,0.0001514268,0.99984884
0,0.9999471,5.2915508e-05
0,0.99992037,7.964145e-05
1,0.00016344857,0.9998365
0,0.9999223,7.75564e-05
0,0.9999247,7.53695e-05
1,0.00017274114,0.9998274
0,0.999939,6.116644e-05
0,0.9999475,5.241261e-05
1,0.00075997703,0.99924004
0,0.99965537,0.0003445993
0,0.99994475,5.552234e-05
1,0.00013693036,0.99986315
0,0.99993473,6.554695e-05
0,0.9999533,4.6799905e-05
1,0.00013470965,0.9998656
0,0.99994904,5.0966883e-05
0,0.9999586,4.1443527e-05
1,0.000116762414,0.9998832
0,0.99988884,0.000110958776
0,0.99993473,6.536536e-05
0,0.999248,0.00075201754
1,0.0021306898,0.99786943
0,0.9998965,0.00010335336
1,0.00015146694,0.99984837
0,0.9999395,6.0624487e-05
0,0.9999356,6.46495e-05
1,0.00013757357,0.9998627
0,0.9999475,5.265776e-05
0,0.9999543,4.5688852e-05
1,0.00012046516,0.9998793
0,0.99992365,7.615191e-05
0,0.99994856,5.1444273e-05
1,0.0018304366,0.99816966
0,0.99859357,0.0014063693
0,0.9998217,0.00017858404
1,0.00014492912,0.9998551
0,0.9999427,5.730207e-05
0,0.99994475,5.5555127e-05
1,0.00014348754,0.9998565
0,0.9999399,6.025146e-05
0,0.99994856,5.1400675e-05
1,0.00012445616,0.9998756
0,0.999897,0.000103139595
0,0.9999461,5.4152337e-05
1,0.00090999034,0.9990899
0,0.99914986,0.000850055
0,0.9999327,6.717095e-05
1,0.00013101948,0.9998688
0,0.9999432,5.6914898e-05
0,0.99995273,4.725503e-05
1,0.0001366155,0.9998636
0,0.9999509,4.8969043e-05
0,0.99995613,4.4014538e-05
1,0.00012123123,0.9998788
0,0.9999284,7.155597e-05
0,0.99994427,5.6006385e-05
1,0.0047220504,0.9952781
0,0.99957484,0.0004252138
0,0.9714254,0.028574552
1,0.0006078053,0.9993922
0,0.99977446,0.0002255405
0,0.9993174,0.0006825969
1,0.0002526707,0.99974734
0,0.9999179,8.223171e-05
0,0.99991363,8.653187e-05
1,0.00013974484,0.99986035
0,0.9998645,0.00013540377
0,0.9999284,7.1452734e-05
1,0.002180023,0.99781984
0,0.99932337,0.0006765967
0,0.99892724,0.0010727282
1,0.00018417808,0.999816
0,0.99994516,5.470222e-05
0,0.9999223,7.764794e-05
1,0.00022687088,0.999773
0,0.99994856,5.175784e-05
0,0.9999179,8.189565e-05
1,0.00012958114,0.99987036
0,0.9999175,8.230765e-05
0,0.9999475,5.262397e-05
1,0.032158002,0.9678419
0,0.9923783,0.0076216212
0,0.99990606,9.381336e-05
1,0.00021968372,0.9997802
0,0.9999409,5.913141e-05
0,0.9999366,6.330458e-05
0,0.99775666,0.002243499
1,0.005656941,0.99434316
0,0.9982639,0.0017360151
1,0.00016604434,0.99983406
0,0.9999384,6.1553e-05
0,0.99995184,4.8015034e-05
1,0.00122721,0.99877286
0,0.9925551,0.007444775
0,0.9995088,0.00049131206
1,0.00015452449,0.99984556
0,0.9999475,5.262748e-05
0,0.99987835,0.00012153626
1,0.00016206883,0.9998379
0,0.99994224,5.7661517e-05
0,0.99990517,9.493776e-05
1,0.00014234512,0.9998579
0,0.99995273,4.7405698e-05
0,0.99994797,5.2090603e-05
0,0.9988127,0.0011872048
1,0.0032163144,0.9967837
0,0.9998536,0.00014626821
1,0.00015905271,0.9998413
0,0.99993795,6.1968356e-05
0,0.99994904,5.1288196e-05
0,0.9955539,0.0044461545
0,0.95355856,0.046441317
0,0.99745166,0.0025483537
1,0.00012474859,0.9998751
0,0.9998836,0.00011634358
0,0.9999418,5.8052e-05
0,0.99921954,0.0007804055
0,0.99298704,0.0070128636
1,0.0045811464,0.9954188
1,0.00014597473,0.999854
0,0.99992746,7.267221e-05
0,0.9999366,6.324659e-05
1,0.00013154531,0.9998684
0,0.99994516,5.4897253e-05
0,0.9999547,4.558975e-05
1,0.00011719996,0.9998827
0,0.99988604,0.00011398595
0,0.99992424,7.579731e-05
1,0.00048317952,0.9995168
0,0.9997912,0.00020868717
0,0.9998856,0.00011453416
0,0.99859864,0.0014014755
0,0.9990654,0.0009346856
1,0.0033593772,0.9966406
1,0.00013206269,0.9998679
0,0.9999533,4.6841298e-05
0,0.999958,4.2012984e-05
1,0.00012119332,0.9998788
0,0.9999142,8.585398e-05
0,0.99994427,5.592809e-05
1,0.000660476,0.9993395
0,0.99906677,0.00093327876
0,0.99992317,7.6865785e-05
1,0.00013824616,0.9998617
