predicted_label,no,yes
1,0.0042558927,0.995744
0,0.99493486,0.0050652088
0,0.9996839,0.00031634062
1,0.00077625323,0.9992238
0,0.999774,0.00022594868
0,0.9998965,0.000103516126
1,0.00082303694,0.9991768
0,0.9998331,0.00016673477
0,0.99987835,0.00012184461
1,0.00211259,0.99788743
0,0.99965197,0.0003479252
0,0.99960196,0.00039819663
1,0.0033645455,0.9966354
0,0.9987177,0.0012821953
0,0.99967283,0.00032722385
1,0.00086764543,0.9991323
0,0.9997411,0.00025871987
0,0.9998799,0.00012012983
1,0.0005849387,0.9994151
0,0.9998308,0.00016921613
0,0.9998856,0.000114467446
1,0.0015322427,0.9984677
0,0.9997592,0.00024094262
0,0.9998088,0.00019102421
0,0.99814326,0.0018568662
1,0.005721961,0.99427795
0,0.99970627,0.00029372296
1,0.0007850754,0.99921495
0,0.99978495,0.00021527115
0,0.99989176,0.00010844487
1,0.0006936911,0.99930644
0,0.99982214,0.00017805806
0,0.9998226,0.00017758168
1,0.001266141,0.9987338
0,0.99977446,0.00022553491
0,0.9997196,0.00028055077
1,0.010005933,0.9899941
0,0.9829663,0.01703372
0,0.9994508,0.0005493772
1,0.00091082416,0.99908924
0,0.9997835,0.00021668042
0,0.99988407,0.00011599759
1,0.00071768276,0.9992823
0,0.9998145,0.00018559764
0,0.99987745,0.00012266179
1,0.0017681659,0.99823177
0,0.9996215,0.00037863414
0,0.99971396,0.00028585698
1,0.0016912943,0.9983086
0,0.99909633,0.000903787
0,0.9997401,0.00026001426
1,0.00070516503,0.99929476
0,0.9998217,0.00017840292
0,0.99987465,0.00012551148
1,0.00057279214,0.99942726
0,0.99985605,0.00014426197
0,0.99989796,0.00010217966
1,0.0012723561,0.9987276
0,0.9998012,0.00019864115
0,0.9998436,0.00015649054
0,0.98957175,0.0104281865
0,0.99510014,0.004899769
1,0.4337309,0.5662691
1,0.11826261,0.88173735
0,0.99793905,0.0020607756
0,0.9949254,0.005074698
1,0.0008812895,0.9991188
0,0.9997449,0.00025531315
0,0.99965394,0.0003460189
1,0.0024311426,0.99756867
0,0.99934554,0.00065438496
0,0.9998006,0.00019940929
1,0.0073892707,0.99261063
0,0.99805856,0.0019413227
0,0.99917585,0.0008240092
1,0.00071738305,0.9992826
0,0.9997569,0.00024308007
0,0.9998965,0.000103368155
1,0.00059243623,0.9994074
0,0.9998408,0.00015934967
0,0.99989945,0.00010064579
1,0.0013683416,0.9986317
0,0.9996587,0.00034145894
0,0.9997988,0.00020141901
1,0.010878007,0.9891219
0,0.98393583,0.016064176
0,0.99964917,0.00035073294
1,0.00092583493,0.99907416
0,0.9997506,0.00024939835
0,0.9998765,0.0001236525
0,0.9960904,0.00390955
1,0.013956679,0.98604333
0,0.9977915,0.0022083302
1,0.0014648632,0.99853534
0,0.9996992,0.00030069673
0,0.9997811,0.00021881849
1,0.0017829365,0.99821705
0,0.9984446,0.0015555513
0,0.9997649,0.00023494408
1,0.0006762213,0.99932384
0,0.9998126,0.00018740649
0,0.9998645,0.00013553812
1,0.0005552729,0.9994446
0,0.9998627,0.00013718446
0,0.9998975,0.00010246812
1,0.0010654983,0.9989343
0,0.9998049,0.00019495314
